Player,Nation,Position,Squad,Competition,Age,Matches Played,Starts,Minutes Played,Goals,Assists,Shots,Shots on Target,Pass Completion %,Dribbles Completed,Tackles Won,Interceptions,Yellow Cards,Red Cards,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won %,Goals per 90,Assists per 90,Shots per 90,Shots on Target per 90,Dribbles Completed per 90,Tackles Won per 90,Interceptions per 90,Aerial Duels Won per 90
Wojciech Szczęsny,pl POL,GK,Juventus,it Serie A,34-025,34,34,3060.0,0.0,0.0,0.0,0.0,77.4,1.0,0.0,1.0,1,0,3.0,1,75.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.029411764705882353,0.08823529411764705
Dominik Szoboszlai,hu HUN,MF,Liverpool,eng Premier League,23-201,31,25,2079.0,3.0,2.0,57.0,13.0,82.4,24.0,19.0,15.0,1,0,12.0,18,40.0,0.12987012987012986,0.08658008658008658,2.4675324675324672,0.5627705627705628,1.0389610389610389,0.8225108225108225,0.6493506493506493,0.5194805194805194
Przemysław Szymiński,pl POL,MF,Frosinone,it Serie A,29-324,1,0,9.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexander Sørloth,no NOR,FW,Villarreal,es La Liga,28-160,31,27,2293.0,19.0,6.0,68.0,32.0,74.6,29.0,3.0,0.0,3,0,73.0,40,64.6,0.7457479284779764,0.23549934583515048,2.668992586131705,1.2559965111208025,1.1382468382032271,0.11774967291757524,0.0,2.865242040994331
Musa Al-Taamari,jo JOR,FW,Montpellier,fr Ligue 1,26-338,27,24,1928.0,5.0,2.0,46.0,19.0,72.7,44.0,16.0,4.0,0,0,10.0,19,34.5,0.23340248962655602,0.09336099585062241,2.1473029045643153,0.8869294605809128,2.0539419087136928,0.7468879668049793,0.18672199170124482,0.46680497925311204
Nicolás Tagliafico,ar ARG,DF,Lyon,fr Ligue 1,31-256,24,24,2035.0,3.0,1.0,12.0,5.0,84.7,5.0,34.0,24.0,7,1,19.0,15,55.9,0.13267813267813267,0.044226044226044224,0.5307125307125307,0.22113022113022113,0.22113022113022113,1.5036855036855035,1.0614250614250613,0.8402948402948404
Jonathan Tah,de GER,DF,Leverkusen,de Bundesliga,28-092,30,29,2541.0,4.0,1.0,25.0,10.0,94.3,4.0,9.0,21.0,6,0,61.0,21,74.4,0.14167650531286893,0.03541912632821723,0.8854781582054309,0.3541912632821724,0.14167650531286893,0.3187721369539551,0.743801652892562,2.1605667060212514
Montassar Talbi,tn TUN,DF,Lorient,fr Ligue 1,25-353,24,24,2114.0,0.0,0.0,4.0,2.0,84.8,9.0,22.0,31.0,2,0,51.0,35,59.3,0.0,0.0,0.17029328287606432,0.08514664143803216,0.3831598864711448,0.9366130558183539,1.3197729422894986,2.1712393566698203
Yassin Tallal,es ESP,MF,Getafe,es La Liga,19-010,1,0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adrien Tameze,cm CMR,"DF,MF",Torino,it Serie A,30-099,27,23,1985.0,0.0,2.0,8.0,0.0,86.2,10.0,15.0,44.0,6,1,30.0,38,44.1,0.0,0.0906801007556675,0.36272040302267,0.0,0.4534005037783375,0.6801007556675063,1.994962216624685,1.3602015113350125
