,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,League
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,
Conor Bradley,nir NIR,DF,Liverpool,21-042,2003,1,0,14,0.2,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,1,0,0.00,0.00,0.00,0.00,0.00,1.45,0.00,1.45,1.45,1.45,Matches,Premier League
Ben Brereton,cl CHI,FW,Southampton,25-124,1999,1,1,70,0.8,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,1,0,6,0.00,0.00,0.00,0.00,0.00,0.38,0.07,0.45,0.38,0.45,Matches,Premier League
Facundo Buonanotte,ar ARG,MF,Leicester City,19-241,2004,1,1,78,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,2,4,2,0.00,0.00,0.00,0.00,0.00,0.00,0.43,0.43,0.00,0.43,Matches,Premier League
Dan Burn,eng ENG,DF,Newcastle Utd,32-103,1992,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Premier League
Wes Burns,wls WAL,FW,Ipswich Town,29-271,1994,1,1,56,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,0,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Premier League
Moisés Caicedo,ec ECU,MF,Chelsea,22-292,2001,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,0,3,0,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.06,0.03,0.06,Matches,Premier League
Tom Cairney,sct SCO,MF,Fulham,33-213,1991,1,0,27,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.00,0.13,Matches,Premier League
Dominic Calvert-Lewin,eng ENG,FW,Everton,27-157,1997,1,1,75,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,4,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Premier League
Fabio Carvalho,pt POR,FW,Brentford,21-356,2002,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Premier League
Casemiro,br BRA,MF,Manchester Utd,32-179,1992,1,1,90,1.0,0,0,0,0,0,0,0,0,0.2,0.2,1.0,1.2,0,4,0,0.00,0.00,0.00,0.00,0.00,0.16,0.99,1.16,0.16,1.16,Matches,Premier League
Matty Cash,pl POL,DF,Aston Villa,27-013,1997,1,1,81,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0.00,0.12,Matches,Premier League
Conor Chaplin,eng ENG,MF,Ipswich Town,27-186,1997,1,1,64,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Premier League
Chiquinho,pt POR,MF,Wolves,24-197,2000,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.42,0.00,0.42,Matches,Premier League
Ryan Christie,sct SCO,MF,Bournemouth,29-180,1995,1,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Premier League
Nathan Collins,ie IRL,DF,Brentford,23-112,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,2,2,0,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.22,0.22,0.22,Matches,Premier League
Levi Colwill,eng ENG,DF,Chelsea,21-176,2003,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Premier League
Lewis Cook,eng ENG,MF,Bournemouth,27-199,1997,1,1,83,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,1,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.24,0.00,0.24,Matches,Premier League
Vladimír Coufal,cz CZE,DF,West Ham,31-364,1992,1,1,84,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0.00,0.12,Matches,Premier League
