,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,League
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,
Alexander Sørloth,no NOR,FW,Atlético Madrid,28-259,1995,1,1,45,0.5,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,0,0,1,2.00,0.00,2.00,2.00,2.00,0.29,0.00,0.29,0.29,0.29,Matches,La Liga
Renato Tapia,pe PER,MF,Leganés,29-023,1995,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,La Liga
Aurélien Tchouaméni,fr FRA,MF,Real Madrid,24-206,2000,1,1,62,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,La Liga
Álvaro Tejero,es ESP,"MF,DF",Espanyol,28-031,1996,1,1,69,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,1,4,0.00,0.00,0.00,0.00,0.00,0.06,0.11,0.17,0.06,0.17,Matches,La Liga
Martín Tejón,es ESP,DF,Valencia,20-130,2004,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,La Liga
Nahuel Tenaglia,ar ARG,DF,Alavés,28-181,1996,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,La Liga
Marc-André ter Stegen,de GER,GK,Barcelona,32-112,1992,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,La Liga
Ramón Terrats,es ESP,MF,Villarreal,23-307,2000,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,La Liga
David Torres,es ESP,DF,Valladolid,21-168,2003,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,La Liga
Ferrán Torres,es ESP,FW,Barcelona,24-173,2000,1,1,63,0.7,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,3,1,4,0.00,0.00,0.00,0.00,0.00,0.30,0.03,0.33,0.30,0.33,Matches,La Liga
Lucas Torró,es ESP,MF,Osasuna,30-032,1994,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,La Liga
Hamari Traoré,ml MLI,DF,Real Sociedad,32-206,1992,1,1,74,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,La Liga
Beñat Turrientes,es ESP,MF,Real Sociedad,22-202,2002,1,1,67,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,4,2,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches,La Liga
Chrisantus Uche,ng NGA,FW,Getafe,21-093,2003,1,1,90,1.0,1,0,1,1,0,0,1,0,0.0,0.0,0.0,0.1,0,0,3,1.00,0.00,1.00,1.00,1.00,0.05,0.03,0.07,0.05,0.07,Matches,La Liga
Óscar Valentín,es ESP,MF,Rayo Vallecano,30-000,1994,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,La Liga
Martin Valjent,sk SVK,DF,Mallorca,28-253,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,La Liga
Federico Valverde,uy URU,MF,Real Madrid,26-029,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,8,2,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches,La Liga
José Luis García Vayá,es ESP,MF,Valencia,26-009,1998,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,0,2,0,0.00,0.00,0.00,0.00,0.00,0.02,0.15,0.17,0.02,0.17,Matches,La Liga
Jesus Vazquez,es ESP,DF,Valencia,21-231,2003,1,1,76,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,4,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,La Liga
Lucas Vázquez,es ESP,DF,Real Madrid,33-050,1991,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,La Liga
Alejo Véliz,ar ARG,FW,Espanyol,20-336,2003,1,1,69,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches,La Liga
Mikel Vesga,es ESP,MF,Athletic Club,31-091,1993,1,1,56,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,La Liga
Carlos Vicente,es ESP,DF,Alavés,25-119,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,4,4,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,Matches,La Liga
Pau Victor Delgado,es ESP,FW,Barcelona,22-268,2001,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,2,2,0.00,0.00,0.00,0.00,0.00,0.00,1.04,1.04,0.00,1.04,Matches,La Liga
Asier Villalibre,es ESP,FW,Alavés,26-325,1997,1,0,11,0.1,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,1,0,1,0.00,0.00,0.00,0.00,0.00,2.72,0.00,2.72,2.72,2.72,Matches,La Liga
Iván Villar,es ESP,GK,Celta Vigo,27-042,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,La Liga
Viti,es ESP,DF,Las Palmas,26-339,1997,1,0,15,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,La Liga
Daniel Vivian,es ESP,DF,Athletic Club,25-036,1999,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,La Liga
Iñaki Williams,gh GHA,FW,Athletic Club,30-066,1994,1,1,90,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,10,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,Matches,La Liga
Nico Williams,es ESP,FW,Athletic Club,22-039,2002,1,0,19,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,0,2,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.24,0.24,0.24,Matches,La Liga
Axel Witsel,be BEL,DF,Atlético Madrid,35-221,1989,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,La Liga
Lamine Yamal,es ESP,FW,Barcelona,17-038,2007,1,1,85,0.9,0,1,1,0,0,0,0,0,0.4,0.4,1.1,1.5,2,4,11,0.00,1.06,1.06,0.00,1.06,0.43,1.17,1.60,0.43,1.60,Matches,La Liga
Bryan Zaragoza,es ESP,MF,Osasuna,23-117,2001,1,0,31,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,1,1,2,0.00,0.00,0.00,0.00,0.00,0.39,0.10,0.49,0.39,0.49,Matches,La Liga
Martín Zubimendi,es ESP,MF,Real Sociedad,25-200,1999,1,0,45,0.5,1,0,1,1,0,0,0,0,0.4,0.4,0.0,0.4,1,4,1,2.00,0.00,2.00,2.00,2.00,0.72,0.00,0.72,0.72,0.72,Matches,La Liga
Oliver Abildgaard,dk DEN,MF,Como,28-071,1996,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Serie A
Tammy Abraham,eng ENG,FW,Roma,26-323,1997,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Serie A
Francesco Acerbi,it ITA,DF,Inter,36-192,1988,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Serie A
Che Adams,sct SCO,FW,Torino,28-038,1996,1,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Serie A
Michel Aebischer,ch SUI,MF,Bologna,27-227,1997,1,0,15,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,2,1,0.00,0.00,0.00,0.00,0.00,0.44,0.00,0.44,0.44,0.44,Matches,Serie A
Pontus Almqvist,se SWE,FW,Parma,25-041,1999,1,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.68,0.68,0.00,0.68,Matches,Serie A
Giorgio Altare,it ITA,DF,Venezia,26-011,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,0,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches,Serie A
Sofyan Amrabat,ma MAR,"MF,DF",Fiorentina,27-365,1996,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,Matches,Serie A
Angeliño,es ESP,DF,Roma,27-229,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,8,0,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches,Serie A
Kristjan Asllani,al ALB,MF,Inter,22-164,2002,1,0,5,0.1,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,0,0,1,0.00,0.00,0.00,0.00,0.00,5.02,0.00,5.02,5.02,5.02,Matches,Serie A
Tommaso Augello,it ITA,DF,Cagliari,29-356,1994,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,3,3,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.00,0.11,Matches,Serie A
Carlos Augusto,br BRA,DF,Inter,25-226,1999,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Serie A
Yann Aurel Bisseck,de GER,DF,Inter,23-265,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,3,8,8,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.21,0.21,0.21,Matches,Serie A
Paulo Azzi,br BRA,DF,Cagliari,30-036,1994,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,3,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Serie A
Milan Badelj,hr CRO,MF,Genoa,35-177,1989,1,1,85,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.3,0,2,0,0.00,0.00,0.00,0.00,0.00,0.15,0.13,0.28,0.15,0.28,Matches,Serie A
Mitchel Bakker,nl NED,MF,Atalanta,24-061,2000,1,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Serie A
Tommaso Baldanzi,it ITA,MF,Roma,21-150,2003,1,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,0,3,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,Matches,Serie A
Botond Balogh,hu HUN,DF,Parma,22-075,2002,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Serie A
Lameck Banda,zm ZAM,FW,Lecce,23-204,2001,1,0,45,0.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,2,4,0.00,0.00,0.00,0.00,0.00,0.49,0.00,0.49,0.49,0.49,Matches,Serie A
Mattia Bani,it ITA,DF,Genoa,30-254,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches,Serie A
Federico Barba,it ITA,DF,Como,30-354,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Serie A
Nicolò Barella,it ITA,MF,Inter,27-195,1997,1,1,90,1.0,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,0,8,4,0.00,1.00,1.00,0.00,1.00,0.01,0.21,0.23,0.01,0.23,Matches,Serie A
Federico Baschirotto,it ITA,DF,Lecce,27-335,1996,1,1,90,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.14,0.14,Matches,Serie A
Daniele Baselli,it ITA,MF,Como,32-161,1992,1,1,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Serie A
Alessandro Bastoni,it ITA,DF,Inter,25-129,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,5,9,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.10,Matches,Serie A
Reda Belahyane,fr FRA,MF,Hellas Verona,20-080,2004,1,0,70,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Serie A
Raoul Bellanova,it ITA,DF,Torino,24-095,2000,1,1,87,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,4,0,5,0.00,0.00,0.00,0.00,0.00,0.03,0.07,0.11,0.03,0.11,Matches,Serie A
Andrea Belotti,it ITA,FW,Como,30-244,1993,1,1,55,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,2,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.17,0.17,0.17,Matches,Serie A
Ismaël Bennacer,dz ALG,MF,Milan,26-263,1997,1,1,58,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.00,0.14,Matches,Serie A
Medon Berisha,al ALB,MF,Lecce,20-304,2003,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.38,0.00,0.38,0.38,0.38,Matches,Serie A
Adrian Bernabe,es ESP,MF,Parma,23-086,2001,1,1,79,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,0,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches,Serie A
Sam Beukema,nl NED,DF,Bologna,25-277,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,1,3,0,0.00,0.00,0.00,0.00,0.00,0.02,0.28,0.30,0.02,0.30,Matches,Serie A
Alessandro Bianco,it ITA,MF,Fiorentina,21-324,2002,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Serie A
Jaka Bijol,si SVN,DF,Udinese,25-197,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Serie A
Cristiano Biraghi,it ITA,DF,Fiorentina,31-354,1992,1,1,90,1.0,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,1,5,11,1.00,0.00,1.00,1.00,1.00,0.07,0.02,0.09,0.07,0.09,Matches,Serie A
Samuele Birindelli,it ITA,DF,Monza,25-032,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches,Serie A
Warren Bondo,fr FRA,MF,Monza,20-340,2003,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches,Serie A
Ange-Yoan Bonny,fr FRA,FW,Parma,20-300,2003,1,1,64,0.7,0,1,1,0,0,0,0,0,0.0,0.0,0.4,0.4,0,3,6,0.00,1.41,1.41,0.00,1.41,0.05,0.49,0.55,0.05,0.55,Matches,Serie A
Matthias Braunöder,at AUT,MF,Como,22-146,2002,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Serie A
Gleison Bremer,br BRA,DF,Juventus,27-155,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Serie A
Brenner,br BRA,FW,Udinese,24-217,2000,1,1,81,0.9,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,1,0,2,0.00,1.11,1.11,0.00,1.11,0.00,0.08,0.08,0.00,0.08,Matches,Serie A
Marco Brescianini,it ITA,MF,Atalanta,24-213,2000,1,1,89,1.0,2,0,2,2,0,0,0,0,0.2,0.2,0.1,0.3,3,3,9,2.02,0.00,2.02,2.02,2.02,0.20,0.11,0.31,0.20,0.31,Matches,Serie A
Liberato Cacace,nz NZL,MF,Empoli,23-328,2000,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Serie A
Davide Calabria,it ITA,DF,Milan,27-258,1996,1,1,82,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,12,8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Serie A
Luca Caldirola,it ITA,DF,Monza,33-201,1991,1,1,90,1.0,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,0,2,0,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.17,0.17,0.17,Matches,Serie A
Hakan Çalhanoğlu,tr TUR,MF,Inter,30-194,1994,1,1,74,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,9,3,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches,Serie A
Drissa Camara,ci CIV,FW,Parma,22-184,2002,1,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,0,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches,Serie A
Nicolò Cambiaghi,it ITA,FW,Bologna,23-236,2000,1,0,15,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,2,4,0.00,0.00,0.00,0.00,0.00,0.37,0.00,0.37,0.37,0.37,Matches,Serie A
Andrea Cambiaso,it ITA,"FW,DF",Juventus,24-182,2000,1,1,90,1.0,1,0,1,1,0,0,1,0,0.1,0.1,0.4,0.5,3,2,3,1.00,0.00,1.00,1.00,1.00,0.10,0.41,0.50,0.10,0.50,Matches,Serie A
Matteo Cancellieri,it ITA,MF,Parma,22-190,2002,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.10,Matches,Serie A
Gianluca Caprari,it ITA,MF,Monza,31-021,1993,1,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Serie A
Francesco Caputo,it ITA,FW,Empoli,37-014,1987,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Serie A
Nicolò Casale,it ITA,DF,Lazio,26-188,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches,Serie A
Federico Cassa,it ITA,FW,Atalanta,18-201,2006,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Serie A
Valentín Castellanos,ar ARG,FW,Lazio,25-322,1998,1,1,86,1.0,1,0,1,1,0,0,1,0,0.7,0.7,0.0,0.7,3,2,6,1.05,0.00,1.05,1.05,1.05,0.70,0.00,0.70,0.70,0.70,Matches,Serie A
Santiago Castro,ar ARG,FW,Bologna,19-326,2004,1,1,83,0.9,0,0,0,0,0,0,0,0,0.5,0.5,0.4,0.8,1,0,3,0.00,0.00,0.00,0.00,0.00,0.51,0.40,0.91,0.51,0.91,Matches,Serie A
Gaetano Castrovilli,it ITA,MF,Lazio,27-185,1997,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.7,0.7,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,15.47,15.47,0.00,15.47,Matches,Serie A
Zeki Çelik,tr TUR,DF,Roma,27-185,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,7,4,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches,Serie A
Alberto Cerri,it ITA,FW,Como,28-126,1996,1,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Serie A
Walid Cheddira,ma MAR,FW,Napoli,26-211,1998,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.00,0.20,Matches,Serie A
Samuel Chukwueze,ng NGA,FW,Milan,25-090,1999,1,1,59,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,0,10,0.00,0.00,0.00,0.00,0.00,0.14,0.05,0.18,0.14,0.18,Matches,Serie A
Alessandro Circati,au AUS,DF,Parma,20-315,2003,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Serie A
Saúl Coco,gq EQG,DF,Torino,25-193,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Serie A
Lorenzo Colombo,it ITA,FW,Empoli,22-165,2002,1,1,84,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,4,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,Matches,Serie A
Andrea Colpani,it ITA,MF,Fiorentina,25-101,1999,1,1,59,0.7,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,2,3,6,0.00,0.00,0.00,0.00,0.00,0.46,0.00,0.46,0.46,0.46,Matches,Serie A
Pietro Comuzzo,it ITA,DF,Fiorentina,19-182,2005,1,1,72,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Serie A
Diego Coppola,it ITA,DF,Hellas Verona,20-236,2003,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Serie A
Lassana Coulibaly,ml MLI,MF,Lecce,28-132,1996,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,1,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.49,0.49,0.00,0.49,Matches,Serie A
Woyo Coulibaly,fr FRA,DF,Parma,25-092,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,4,2,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches,Serie A
Bryan Cristante,it ITA,MF,Roma,29-170,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,9,1,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches,Serie A
Domen Črnigoj,si SVN,MF,Venezia,28-276,1995,1,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Serie A
Patrick Cutrone,it ITA,FW,Como,26-230,1998,1,1,62,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Serie A
Wylan Cyprien,fr FRA,MF,Parma,29-205,1995,1,0,11,0.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,2,0,0.00,0.00,0.00,0.00,0.00,1.60,0.00,1.60,1.60,1.60,Matches,Serie A
